student_id,name
7787,django
7381,UNIX
10553,backbone
7317,django
7905,C#
5974,react
6235,TCP/IP
9302,R
8032,django
7414,django
6076,ML systems
10054,UNIX
8209,javascript
9363,vue
7638,react
8931,javascript
7047,rails
7793,css
7742,C#
5031,php
5907,rails
7624,rails
5549,WAN
6395,php
8900,backbone
8751,rails
6287,javascript
5768,Ruby
5935,vue
7708,react
6861,react
10017,.Net
6103,css
10229,UNIX
6248,vue
4935,php
8646,R
9897,django
9829,Mean
5240,vue
4714,javascript
6600,Ruby
4906,javascript
10289,R
7751,Ruby
8099,php
9309,C++
5283,hypothesis testing
4737,C++
8912,R
6672,Mean
8661,backbone
5303,UNIX
10108,html
6320,regressions
9649,react
8467,django
8340,LAN
10102,R
5266,statisticalinference
6175,rails
10534,angular
9218,react
4769,.Net
8948,C#
8802,django
6032,UNIX
10369,javascript
9543,html
7907,javascript
9304,R
5783,WAN
7805,javascript
6031,Python
5523,WAN
9879,Python
8666,vue
6417,Ruby
9609,react
5103,react
5750,git
5238,LAN
6915,Java
7811,git
5481,Python
9991,Python
7168,R
8794,html
6630,react
7044,Python
8173,javascript
4797,django
7901,css
6469,react
8698,css
8541,.Net
4741,.Net
10517,backbone
7471,git
9223,TCP/IP
5587,css
9081,LAN
9522,vue
9533,django
9233,rails
7312,angular
7763,git
6795,statisticalinference
4945,react
5042,LAN
8794,backbone
7890,TCP/IP
4642,git
9654,angular
7501,react
7194,php
7318,react
6259,django
9792,css
10331,django
5195,react
9048,C#
7103,php
5457,LAN
8544,SQL
9651,git
4655,html
8824,.Net
8313,vue
5526,LAN
10389,react
8256,SQL
8020,.Net
4601,SQL
9800,Ruby
5278,SQL
5264,angular
6260,UNIX
6152,UNIX
5890,javascript
4944,R
5916,django
7742,backbone
5783,django
9351,WAN
7632,git
5735,LAN
6861,css
7779,html
6651,.Net
7315,UNIX
9385,react
6004,C#
5081,react
7466,html
9510,hypothesis testing
9601,django
9113,C#
8343,ML systems
8589,WAN
7454,rails
8924,angular
6869,regressions
10391,django
9814,.Net
6888,react
7070,backbone
4845,Java
9914,Ruby
6698,rails
4701,git
8775,ML systems
6588,django
7074,backbone
5896,react
6522,react
5329,css
8323,Mean
5195,angular
9953,rails
9457,javascript
5675,javascript
6352,C++
5585,html
10041,git
8049,css
10053,javascript
9085,html
5435,javascript
4803,javascript
5183,django
6967,.Net
6758,LAN
8559,git
9192,.Net
7862,css
4998,git
4620,django
8055,javascript
6270,react
5385,javascript
9742,react
4717,Python
9137,vue
9439,WAN
9861,C++
5432,angular
8450,git
9066,Java
5318,hypothesis testing
5703,javascript
10040,django
5020,django
8416,Mean
5508,R
4822,php
10345,django
5881,django
5501,django
6982,vue
9492,vue
7030,Java
10448,WAN
5030,regressions
4751,ML systems
9768,Java
4960,css
10046,javascript
9087,TCP/IP
8076,backbone
9774,Mean
7942,angular
8303,html
6114,WAN
9923,git
5904,backbone
7838,css
7682,statisticalinference
5237,R
5257,UNIX
7876,git
9908,react
6155,git
5076,UNIX
4960,css
9066,php
6447,css
8864,rails
5597,SQL
8918,WAN
5320,C++
4861,vue
6042,react
5169,SQL
9927,vue
5135,javascript
10449,LAN
10271,Java
4731,css
8957,css
7760,php
4784,Mean
7203,regressions
8007,Python
5579,backbone
7428,Ruby
8664,react
10526,Mean
8197,.Net
6460,php
9671,C++
5070,vue
8395,django
9669,javascript
8853,angular
8095,ML systems
9446,html
6000,css
6270,backbone
7313,react
10081,ML systems
10495,css
9493,LAN
8481,vue
9391,react
5285,hypothesis testing
8809,Ruby
9420,angular
7761,html
8430,git
9834,TCP/IP
8748,hypothesis testing
4841,Python
10179,R
6332,django
6499,rails
5484,angular
6507,django
9848,vue
8199,react
6557,rails
4749,angular
5418,php
8241,html
6148,C++
7620,vue
7253,angular
9649,statisticalinference
10462,git
4688,TCP/IP
9157,backbone
8401,Mean
10153,php
4710,angular
4790,django
5809,css
6244,javascript
10270,C#
9863,django
10571,django
9678,Java
5727,Ruby
7443,css
5624,regressions
7556,Ruby
10455,Mean
8371,rails
7396,html
5669,R
6976,Java
8845,Ruby
7760,Mean
8310,vue
8546,R
8012,statisticalinference
7343,php
7647,C++
6066,TCP/IP
10259,C++
8797,vue
6057,hypothesis testing
6560,UNIX
9441,vue
5919,regressions
9458,javascript
10228,git
5449,django
7643,vue
6074,Java
9151,git
5111,TCP/IP
8491,C#
8032,hypothesis testing
8909,php
9435,git
5237,backbone
5805,R
8781,TCP/IP
8645,.Net
4792,angular
9207,R
6097,R
6132,php
7554,backbone
4764,UNIX
7685,rails
6830,php
10065,.Net
8344,statisticalinference
7475,UNIX
7598,react
6924,react
7802,vue
8539,WAN
9082,css
4605,html
7693,hypothesis testing
9392,regressions
5097,Python
4817,R
6129,UNIX
8091,javascript
9218,javascript
10307,javascript
8579,UNIX
7564,Java
6523,javascript
8298,backbone
5073,backbone
10115,rails
7230,R
8552,vue
5918,css
6733,vue
8574,git
6955,.Net
7674,html
4643,backbone
8638,git
5660,Ruby
10254,ML systems
6123,Python
8245,Ruby
4961,rails
6896,vue
5300,backbone
8243,hypothesis testing
4931,react
9632,SQL
5130,C++
6650,C#
9457,rails
9789,rails
9158,django
7899,LAN
5808,php
7555,statisticalinference
4979,rails
8225,vue
8665,vue
5496,angular
5296,regressions
6154,LAN
9893,php
10132,hypothesis testing
9002,TCP/IP
6662,R
6488,css
4811,C#
9333,react
7241,WAN
10126,git
8529,css
5575,regressions
6716,backbone
10398,Ruby
5630,WAN
5325,django
9201,vue
9804,angular
5634,statisticalinference
9496,backbone
8540,angular
7173,Mean
5397,rails
5734,rails
8073,javascript
7841,C++
6523,django
6644,statisticalinference
6283,css
10325,C++
5934,statisticalinference
8978,git
7499,angular
6112,react
9752,SQL
5715,ML systems
9727,UNIX
9913,ML systems
9311,javascript
5457,statisticalinference
4923,Ruby
6747,ML systems
6062,C#
10012,TCP/IP
8222,Java
7803,statisticalinference
5321,Mean
5545,django
9416,html
8252,django
6553,C#
10322,UNIX
7053,UNIX
6354,django
5917,php
7691,git
8600,css
8795,vue
4809,css
4939,LAN
6451,backbone
6734,html
7992,TCP/IP
8718,css
9959,Java
7655,backbone
8450,C++
9518,ML systems
8898,backbone
7080,LAN
9080,vue
7186,C++
5640,ML systems
5590,git
9496,hypothesis testing
9805,hypothesis testing
9221,git
10008,hypothesis testing
8986,php
6644,hypothesis testing
5741,php
6271,ML systems
9116,html
9676,vue
8224,TCP/IP
9220,git
8918,backbone
6955,react
10484,git
9978,Java
4864,php
7659,backbone
8282,C#
9808,rails
4888,php
6842,SQL
7502,hypothesis testing
8997,git
6162,regressions
8681,react
9169,javascript
7392,html
5257,C#
9095,css
8210,php
7402,LAN
7469,html
8360,Java
7959,html
9238,backbone
7960,regressions
5597,php
9204,Python
10480,css
9560,TCP/IP
6156,Mean
5876,django
8989,angular
6076,ML systems
9493,react
6552,git
7181,regressions
6390,LAN
7404,WAN
6804,angular
5068,backbone
10369,C#
8096,javascript
10223,TCP/IP
5140,Ruby
5727,git
9209,backbone
6134,html
8379,django
10437,backbone
7718,R
5621,TCP/IP
10315,vue
5161,rails
5751,backbone
9214,vue
5304,react
9960,Java
5532,TCP/IP
5564,html
7194,rails
9353,Java
6227,ML systems
5260,Python
8618,SQL
5869,javascript
8927,angular
6623,statisticalinference
5244,css
